Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
Female,28,1,46,1,< 1 Year,No,18858,152,151,0
Female,45,1,13,0,1-2 Year,Yes,28054,124,160,0
Female,25,1,42,1,< 1 Year,No,34897,152,230,0
Male,55,1,3,0,1-2 Year,Yes,35745,26,174,0
Female,24,1,41,1,< 1 Year,No,33205,152,151,0
Male,22,1,30,1,< 1 Year,No,36020,152,148,0
Female,43,1,28,1,1-2 Year,No,30023,124,271,0
Female,39,1,28,0,1-2 Year,Yes,48520,52,126,0
Female,33,1,35,1,< 1 Year,No,32067,152,79,0
Male,23,1,50,0,< 1 Year,Yes,27814,152,81,0
Male,31,1,30,1,< 1 Year,No,35448,152,94,0
Female,65,1,40,0,1-2 Year,Yes,28601,26,179,0
Female,30,1,46,1,< 1 Year,No,28489,152,224,0
Male,23,1,11,1,< 1 Year,No,32226,152,51,0
Male,54,1,50,0,1-2 Year,Yes,42287,25,130,0
Female,40,1,28,0,1-2 Year,Yes,33885,26,160,0
Male,37,1,35,0,1-2 Year,No,2630,26,270,0
Female,60,1,9,0,1-2 Year,Yes,38272,124,275,0
Male,48,1,28,0,1-2 Year,No,26868,4,274,0
Female,47,1,0,0,1-2 Year,Yes,2630,26,296,0
Male,24,1,13,1,< 1 Year,No,26839,26,148,0
Male,25,1,30,1,< 1 Year,No,30017,152,238,0
Male,37,1,41,0,1-2 Year,Yes,2630,124,99,0
Male,33,1,31,0,< 1 Year,Yes,2630,124,142,0
Male,26,1,33,1,< 1 Year,No,20276,152,176,0
Female,23,1,28,1,< 1 Year,No,42479,152,119,0
Male,46,1,46,1,1-2 Year,No,27329,124,275,0
Male,23,1,28,1,< 1 Year,No,29108,152,79,0
Male,32,1,8,0,1-2 Year,Yes,35260,154,69,0
Male,66,1,45,1,1-2 Year,No,45928,124,199,0
Female,57,1,3,0,1-2 Year,Yes,22328,26,36,0
Female,24,1,37,1,< 1 Year,No,38918,152,10,0
Male,48,1,28,0,1-2 Year,Yes,61479,122,157,0
Male,45,1,8,0,1-2 Year,No,2630,124,279,0
Male,26,1,28,1,< 1 Year,No,28076,152,226,0
Female,30,1,40,0,< 1 Year,Yes,21669,152,152,0
Female,46,1,28,0,1-2 Year,Yes,26948,26,34,0
Female,47,1,28,0,1-2 Year,Yes,41694,13,90,0
Male,26,1,6,1,< 1 Year,No,30208,152,88,0
Female,20,1,8,0,< 1 Year,Yes,34179,160,84,0
Female,62,1,10,1,1-2 Year,No,2630,124,79,0
Female,58,1,39,1,1-2 Year,No,28077,26,254,0
Female,21,1,8,1,< 1 Year,No,61132,160,170,0
Female,51,1,1,0,1-2 Year,Yes,2630,124,60,0
Female,71,1,3,0,1-2 Year,Yes,21304,30,156,0
Female,38,1,50,1,1-2 Year,No,29981,152,221,0
Male,48,1,28,1,1-2 Year,Yes,37350,26,129,0
Female,77,1,28,0,1-2 Year,Yes,32340,26,34,0
Female,29,1,28,1,< 1 Year,No,31341,152,77,0
Female,43,1,28,0,1-2 Year,Yes,25925,157,81,0
Male,23,1,25,1,< 1 Year,No,37989,152,213,0
Male,21,1,11,1,< 1 Year,No,17285,152,132,0
Female,27,1,11,1,< 1 Year,No,30634,152,36,0
Female,24,1,15,1,< 1 Year,No,35860,152,266,0
Male,39,1,28,1,1-2 Year,No,23696,124,239,0
Female,46,1,8,1,1-2 Year,No,33895,26,265,0
Male,26,1,8,1,< 1 Year,No,41394,152,147,0
Male,24,1,23,0,< 1 Year,Yes,21396,152,236,0
Female,40,1,28,0,1-2 Year,No,25557,157,282,0
Female,25,1,11,1,< 1 Year,No,33556,152,159,0
Female,24,1,8,1,< 1 Year,No,2630,152,155,0
Male,45,1,30,1,1-2 Year,No,27648,26,94,0
Male,55,1,28,1,1-2 Year,Yes,78865,26,264,0
Female,49,1,3,0,1-2 Year,Yes,21546,154,77,0
Female,24,1,47,0,< 1 Year,Yes,36248,151,129,0
Female,65,1,28,1,1-2 Year,No,37267,124,73,0
Male,21,1,8,0,< 1 Year,Yes,48676,160,81,0
Female,51,1,28,1,1-2 Year,No,32618,152,143,0
Male,21,1,47,1,< 1 Year,Yes,22098,152,57,0
Female,44,1,8,1,1-2 Year,No,50350,7,24,0
Female,36,1,8,1,1-2 Year,No,2630,19,44,0
Female,20,1,8,1,< 1 Year,No,71187,160,291,0
Male,23,1,15,1,< 1 Year,No,28270,152,98,0
Male,47,1,28,1,1-2 Year,No,42125,26,215,0
Female,72,1,28,1,1-2 Year,No,25025,26,178,0
Female,67,1,28,0,1-2 Year,Yes,28318,26,146,0
Male,27,1,30,1,< 1 Year,No,26998,152,135,0
Female,23,1,50,1,< 1 Year,No,32003,152,195,0
Female,55,1,28,0,1-2 Year,Yes,51966,125,225,0
Male,25,1,8,0,1-2 Year,Yes,61259,124,252,0
Male,70,1,41,1,1-2 Year,No,37338,26,290,0
Female,33,1,45,0,< 1 Year,Yes,2630,152,69,0
Male,42,1,36,1,1-2 Year,No,26403,122,287,0
Male,26,1,30,1,< 1 Year,No,44552,152,257,0
Female,26,1,28,1,< 1 Year,No,37365,152,194,0
Male,63,1,6,1,1-2 Year,No,22116,124,185,0
Female,22,1,47,1,< 1 Year,Yes,42354,152,209,0
Female,51,1,15,0,1-2 Year,No,40979,124,96,0
Female,68,1,41,0,1-2 Year,Yes,44926,12,246,0
Male,22,1,28,0,< 1 Year,Yes,23524,152,222,0
Female,21,1,41,0,< 1 Year,No,2630,160,94,0
Male,52,1,39,0,1-2 Year,Yes,2630,157,263,0
Female,28,1,28,0,< 1 Year,Yes,35894,26,232,0
Male,24,1,13,0,< 1 Year,Yes,33858,152,167,0
Male,37,1,41,0,1-2 Year,Yes,28470,26,100,0
Male,44,1,4,0,1-2 Year,Yes,22596,124,200,0
Female,44,1,8,0,1-2 Year,Yes,63466,26,163,0
Female,54,1,14,0,1-2 Year,Yes,24211,154,205,0
Male,24,1,47,1,< 1 Year,No,2630,152,243,0
Male,23,1,30,1,< 1 Year,No,49605,152,126,0
Female,29,1,3,1,< 1 Year,No,28432,152,278,0
Male,77,1,28,0,1-2 Year,Yes,28180,124,58,0
Male,61,1,2,0,1-2 Year,Yes,28855,124,26,0
Female,24,1,6,1,< 1 Year,No,27656,152,73,0
Male,23,1,41,1,< 1 Year,No,36158,151,67,0
Male,23,1,11,1,< 1 Year,No,40321,152,174,0
Male,70,1,41,0,1-2 Year,Yes,48387,26,175,0
Female,43,1,28,1,1-2 Year,No,37003,26,43,0
Female,21,1,33,1,< 1 Year,No,27713,152,90,0
Female,29,1,34,0,< 1 Year,No,42147,152,242,0
Female,21,1,45,0,< 1 Year,Yes,24453,152,66,0
Male,42,1,28,0,1-2 Year,Yes,32001,26,287,0
Female,39,1,48,1,1-2 Year,No,2630,29,112,0
Male,64,1,9,1,1-2 Year,No,41189,124,185,0
Female,21,1,28,1,< 1 Year,No,28015,152,132,0
Female,43,1,28,0,1-2 Year,Yes,41079,26,154,0
Male,28,1,50,1,< 1 Year,No,60377,152,254,0
Female,24,1,10,1,< 1 Year,No,21216,152,16,0
Male,32,1,8,1,1-2 Year,No,49754,124,292,0
Male,69,1,8,1,1-2 Year,No,38657,26,269,0
Male,53,1,12,1,1-2 Year,No,29972,26,146,0
Female,58,1,28,1,1-2 Year,No,54589,26,61,0
Female,28,1,3,1,< 1 Year,No,2630,152,193,0
Female,33,1,45,1,< 1 Year,No,28161,152,97,0
Male,63,1,28,0,1-2 Year,Yes,38388,163,108,0
Male,28,1,15,1,< 1 Year,No,33790,152,207,0
Female,22,1,28,1,< 1 Year,No,34723,152,215,0
Male,40,1,28,0,> 2 Years,Yes,2630,124,33,0
Male,57,1,46,1,1-2 Year,No,41536,26,123,0
Female,43,1,28,0,1-2 Year,Yes,25212,13,182,0
Female,24,1,16,0,< 1 Year,Yes,38707,152,204,0
Male,52,1,18,1,1-2 Year,No,38717,30,65,0
Male,24,1,15,1,< 1 Year,No,34129,152,247,0
Female,41,1,28,0,> 2 Years,Yes,40090,26,273,0
Female,26,1,46,0,< 1 Year,Yes,38181,26,46,0
Female,30,1,28,1,< 1 Year,No,27811,152,142,0
Male,34,1,30,0,1-2 Year,Yes,29640,124,157,0
Male,23,1,39,1,< 1 Year,No,48859,152,78,0
Female,20,1,46,1,< 1 Year,No,25989,160,85,0
Female,20,1,8,1,< 1 Year,No,52252,160,137,0
Male,66,1,8,0,1-2 Year,Yes,2630,119,125,0
Male,42,1,46,0,1-2 Year,Yes,27428,157,218,0
Male,77,1,15,0,1-2 Year,No,44062,124,222,0
Female,22,1,50,0,< 1 Year,Yes,35735,152,78,0
Male,24,1,29,1,< 1 Year,No,47007,152,93,0
Male,22,1,16,1,< 1 Year,Yes,28292,152,285,0
Female,57,1,28,0,1-2 Year,Yes,38331,124,138,0
Female,36,1,21,0,1-2 Year,Yes,22149,26,55,0
Female,21,1,15,1,< 1 Year,No,26631,160,62,0
Male,65,1,25,0,1-2 Year,Yes,28808,25,176,0
Female,44,1,39,1,1-2 Year,No,2630,31,149,0
Male,27,1,48,1,< 1 Year,No,2630,152,31,0
Male,54,1,18,1,1-2 Year,No,2630,26,189,0
Female,25,1,46,1,< 1 Year,No,27325,152,263,0
Female,23,1,8,1,< 1 Year,No,38089,152,164,0
Male,23,1,50,1,< 1 Year,No,38669,152,181,0
Female,23,1,15,1,< 1 Year,No,38024,152,207,0
Female,42,1,28,0,1-2 Year,Yes,34369,124,204,0
Male,47,1,32,0,1-2 Year,Yes,31272,124,207,0
Female,23,1,4,1,< 1 Year,No,2630,151,213,0
Male,42,1,50,1,1-2 Year,No,42349,8,249,0
Male,24,1,6,0,< 1 Year,No,28031,152,64,0
Female,44,1,1,0,1-2 Year,No,2630,26,107,0
Female,22,1,15,0,< 1 Year,Yes,43195,152,31,0
Female,25,1,18,1,< 1 Year,No,41139,152,175,0
Male,53,1,28,0,1-2 Year,Yes,35572,26,80,0
Male,54,1,25,0,1-2 Year,Yes,30635,30,216,0
Male,27,1,35,1,< 1 Year,No,27224,152,149,0
Male,32,1,28,1,< 1 Year,No,44894,152,251,0
Male,57,1,41,0,1-2 Year,Yes,36224,124,156,0
Male,59,1,45,1,1-2 Year,No,2630,26,45,0
Female,45,1,22,1,1-2 Year,No,27572,124,169,0
Female,22,1,30,1,< 1 Year,No,35740,152,164,0
Female,75,1,28,0,1-2 Year,Yes,2630,124,244,0
Female,44,1,28,0,1-2 Year,Yes,68363,124,76,0
Male,38,1,47,0,1-2 Year,Yes,28316,124,174,0
Female,20,1,15,1,< 1 Year,No,38487,160,275,0
Male,30,1,28,0,1-2 Year,Yes,36357,122,129,0
Male,74,1,30,1,1-2 Year,No,23905,152,223,0
Female,22,1,28,1,< 1 Year,No,83643,152,229,0
Female,67,1,39,1,1-2 Year,No,2630,37,22,0
Male,42,1,3,1,1-2 Year,No,30145,26,58,0
Male,44,1,23,0,1-2 Year,Yes,2630,124,80,0
Female,47,1,11,0,1-2 Year,Yes,26226,124,215,0
Female,55,1,50,1,1-2 Year,Yes,46070,8,216,0
Male,51,1,29,0,1-2 Year,Yes,33714,26,42,0
Female,22,1,13,0,< 1 Year,Yes,2630,163,167,0
Male,71,1,28,1,1-2 Year,No,29829,26,56,0
Female,29,1,46,1,< 1 Year,No,22257,152,214,0
Female,24,1,28,0,< 1 Year,Yes,40653,152,145,0
Female,43,1,28,0,> 2 Years,Yes,28152,157,112,0
Female,24,1,9,1,< 1 Year,No,35477,152,124,0
Male,50,1,12,0,1-2 Year,Yes,26528,124,227,0
Male,25,1,46,1,< 1 Year,No,35680,152,169,0
Male,76,1,28,0,1-2 Year,Yes,52249,124,267,0
Female,22,1,30,1,< 1 Year,No,23760,152,247,0
Male,69,1,33,1,1-2 Year,No,24741,26,183,0
Male,37,1,28,1,1-2 Year,No,2630,152,270,0
Female,34,1,15,0,1-2 Year,No,37791,152,290,0
Female,26,1,13,1,< 1 Year,No,2630,152,278,0
Male,45,1,28,0,> 2 Years,Yes,43416,24,179,0
Male,24,1,33,1,< 1 Year,No,42040,152,212,0
Male,31,1,11,1,1-2 Year,No,23731,124,144,0
Male,43,1,35,1,1-2 Year,No,40002,124,136,0
Female,24,1,15,1,< 1 Year,No,49917,152,270,0
Male,46,1,28,0,1-2 Year,Yes,49039,26,173,0
Male,23,1,50,1,< 1 Year,No,29606,152,229,0
Male,24,1,32,0,< 1 Year,Yes,40383,152,120,0
Male,61,1,15,1,1-2 Year,No,39423,124,208,0
Female,25,1,11,1,< 1 Year,No,25348,152,10,0
Female,63,1,46,1,1-2 Year,No,22578,124,68,0
Female,23,1,10,1,< 1 Year,No,36994,152,81,0
Female,36,1,24,0,1-2 Year,Yes,23203,124,132,0
Male,24,1,45,1,< 1 Year,No,27373,152,153,0
Male,22,1,15,1,< 1 Year,No,35550,152,194,0
Female,23,1,2,0,< 1 Year,Yes,2630,152,192,0
Female,71,1,15,1,1-2 Year,No,37694,152,179,0
Female,23,1,30,1,< 1 Year,Yes,25363,152,86,0
Female,20,1,8,0,< 1 Year,Yes,36064,160,82,0
Male,60,1,39,0,1-2 Year,Yes,37995,26,239,0
Male,46,1,28,0,1-2 Year,Yes,30105,122,219,0
Female,23,1,28,1,< 1 Year,No,51558,152,208,0
Female,24,1,47,1,< 1 Year,No,39421,152,242,0
Male,39,1,49,1,1-2 Year,No,29547,26,281,0
Female,20,1,27,1,< 1 Year,No,34556,160,182,0
Male,31,1,32,1,< 1 Year,No,27422,152,65,0
Female,33,1,46,0,< 1 Year,No,2630,156,140,0
Male,43,1,2,1,1-2 Year,No,27613,124,266,0
Female,48,1,46,1,1-2 Year,No,32105,124,45,0
Male,51,1,41,0,> 2 Years,Yes,31443,12,82,0
Female,72,1,20,1,1-2 Year,No,2630,15,198,0
Male,26,1,21,1,< 1 Year,No,31470,152,279,0
Female,25,1,12,0,< 1 Year,Yes,2630,152,234,0
Female,50,1,28,0,1-2 Year,Yes,39786,26,165,0
Male,70,1,19,1,1-2 Year,No,37953,26,13,0
Female,35,1,28,0,1-2 Year,Yes,25361,124,236,0
Female,29,1,33,1,< 1 Year,No,42928,152,189,0
Male,37,1,28,0,1-2 Year,Yes,33388,124,36,0
Female,62,1,24,1,1-2 Year,No,31745,145,279,0
Male,26,1,35,1,< 1 Year,No,17927,152,205,0
Female,40,1,50,1,1-2 Year,No,42670,26,136,0
Female,34,1,28,0,1-2 Year,Yes,41430,26,72,0
Female,55,1,28,1,1-2 Year,No,61690,124,32,0
Male,25,1,36,1,< 1 Year,No,33675,26,10,0
Female,55,1,28,0,1-2 Year,Yes,45562,26,219,0
Male,59,1,45,0,1-2 Year,Yes,24721,124,233,0
Male,35,1,48,0,1-2 Year,Yes,2630,124,141,0
Female,36,1,47,0,1-2 Year,Yes,36996,124,266,0
Male,37,1,50,1,1-2 Year,No,19929,25,31,0
Male,60,1,13,0,1-2 Year,Yes,29829,124,83,0
Female,40,1,28,0,1-2 Year,Yes,55066,26,242,0
Female,39,1,41,1,1-2 Year,No,32127,152,13,0
Female,24,1,35,1,< 1 Year,No,37361,152,271,0
Male,77,1,33,1,1-2 Year,No,30666,124,181,0
Female,78,1,18,1,1-2 Year,No,36112,124,36,0
Male,53,1,43,1,1-2 Year,No,32880,26,108,0
Male,33,1,39,1,< 1 Year,No,28019,152,264,0
Female,29,1,21,0,< 1 Year,Yes,2630,156,124,0
Male,53,1,33,0,1-2 Year,Yes,35525,26,84,0
Female,24,1,36,1,< 1 Year,No,31470,152,277,0
Male,40,1,28,0,1-2 Year,Yes,39246,26,218,0
Male,24,1,28,1,< 1 Year,No,95130,152,50,0
Female,22,1,49,1,< 1 Year,No,31552,152,293,0
Male,27,1,50,1,< 1 Year,No,18172,152,88,0
Male,40,1,46,1,1-2 Year,No,27242,124,154,0
Female,22,1,6,1,< 1 Year,No,40077,152,220,0
Female,38,1,8,1,1-2 Year,No,31705,152,70,0
Male,23,1,50,1,< 1 Year,Yes,2630,152,24,0
Male,22,1,11,1,< 1 Year,No,54989,152,211,0
Female,69,1,28,0,> 2 Years,Yes,34507,26,192,0
Male,21,1,8,0,< 1 Year,Yes,34683,152,176,0
Male,56,1,28,1,1-2 Year,No,74712,26,280,0
Female,26,1,15,1,< 1 Year,No,2630,26,53,0
Female,23,1,50,1,< 1 Year,No,31581,152,66,0
Male,48,1,12,0,1-2 Year,Yes,28922,26,43,0
Male,56,1,28,0,> 2 Years,Yes,56720,26,266,0
Male,58,1,48,1,1-2 Year,No,2630,15,106,0
Male,71,1,6,1,1-2 Year,No,28357,124,63,0
Male,54,0,28,0,1-2 Year,Yes,62462,124,219,0
Male,58,1,6,0,1-2 Year,Yes,27528,124,14,0
Female,22,1,8,1,< 1 Year,No,40407,152,273,0
Male,54,1,46,1,1-2 Year,No,29248,124,267,0
Male,67,1,28,1,1-2 Year,No,43557,26,183,0
Male,27,1,30,0,< 1 Year,Yes,2630,152,52,0
Female,22,1,46,1,< 1 Year,No,24862,152,84,0
Male,43,1,28,0,1-2 Year,No,49863,124,275,0
Female,21,1,46,1,< 1 Year,No,27029,160,114,0
Male,33,1,11,1,< 1 Year,No,27243,152,54,0
Female,22,1,33,0,< 1 Year,Yes,2630,124,150,0
Male,59,1,7,0,1-2 Year,Yes,41653,26,25,0
Male,24,1,15,1,< 1 Year,No,27433,152,62,0
Male,48,1,8,0,1-2 Year,No,27817,124,181,0
Female,47,1,28,1,1-2 Year,No,33414,124,198,0
Female,46,1,28,1,1-2 Year,No,42467,124,12,0
Male,24,1,8,1,< 1 Year,No,45430,152,44,0
Female,44,1,41,0,1-2 Year,Yes,24370,26,117,0
Male,21,1,47,1,< 1 Year,No,19020,160,86,0
Female,23,1,6,0,< 1 Year,Yes,37076,152,164,0
Male,58,1,24,0,1-2 Year,Yes,42759,26,239,0
Female,25,1,14,1,< 1 Year,No,21409,152,115,0
Female,22,1,3,1,< 1 Year,No,26258,152,120,0
Male,38,1,28,1,1-2 Year,No,36567,152,257,0
Female,33,1,41,1,< 1 Year,No,37033,152,136,0
Female,25,1,50,1,< 1 Year,No,35694,152,131,0
Male,25,1,28,1,< 1 Year,No,48404,152,156,0
Male,58,1,8,0,1-2 Year,Yes,51172,30,238,0
Male,21,1,17,1,< 1 Year,No,39141,152,23,0
Male,22,1,2,0,< 1 Year,Yes,36924,152,158,0
Female,57,1,28,1,1-2 Year,No,26278,26,232,0
Male,21,1,2,0,< 1 Year,Yes,31960,152,16,0
Female,28,1,17,1,< 1 Year,No,44739,152,73,0
Male,22,1,11,1,< 1 Year,No,22036,152,208,0
Female,58,1,28,1,1-2 Year,No,39515,26,210,0
Female,22,1,27,1,< 1 Year,No,53999,152,239,0
Male,50,1,8,1,1-2 Year,No,63236,26,61,0
Male,50,1,8,1,1-2 Year,No,53031,124,162,0
Female,45,1,50,1,1-2 Year,No,31393,8,215,0
Male,23,1,36,0,< 1 Year,Yes,2630,152,73,0
Female,25,1,14,1,< 1 Year,No,25117,152,215,0
Female,25,1,47,1,< 1 Year,No,36366,152,78,0
Female,21,1,50,0,< 1 Year,Yes,39994,152,52,0
Female,23,1,39,0,< 1 Year,Yes,2630,160,151,0
Female,66,1,21,0,1-2 Year,Yes,46031,156,183,0
Female,41,1,8,1,1-2 Year,No,43483,124,177,0
Male,30,1,14,1,< 1 Year,No,27644,152,38,0
Male,42,1,28,1,1-2 Year,No,34635,26,90,0
Female,23,1,14,1,< 1 Year,No,28577,152,258,0
Male,28,1,41,1,< 1 Year,No,29137,152,21,0
Male,23,1,36,1,< 1 Year,No,2630,160,192,0
Male,29,1,8,1,< 1 Year,No,2630,156,69,0
Male,49,1,28,0,1-2 Year,Yes,71853,25,11,0
Female,29,1,28,1,< 1 Year,No,59071,152,236,0
Male,29,1,28,0,< 1 Year,Yes,29623,152,59,0
Male,23,1,2,0,< 1 Year,Yes,2630,160,223,0
Female,21,1,2,1,< 1 Year,No,33539,152,231,0
Female,25,1,37,0,< 1 Year,Yes,2630,152,249,0
Male,63,1,35,0,1-2 Year,Yes,2630,124,185,0
Female,38,1,41,0,1-2 Year,Yes,37130,124,60,0
Male,55,1,15,0,1-2 Year,Yes,41010,14,10,0
Female,24,1,26,1,< 1 Year,Yes,37353,160,71,0
Male,38,1,28,1,1-2 Year,No,38717,29,36,0
Female,23,1,24,1,< 1 Year,No,36811,152,205,0
Female,41,1,28,1,1-2 Year,No,42406,26,294,0
Female,31,1,35,0,< 1 Year,Yes,2630,26,105,0
Female,29,1,35,1,1-2 Year,No,36552,124,65,0
Female,34,1,36,1,1-2 Year,No,34302,152,147,0
Male,53,1,29,0,1-2 Year,Yes,41081,26,31,0
Male,23,1,33,1,< 1 Year,No,34917,152,116,0
Male,53,1,8,0,1-2 Year,Yes,44781,26,203,0
Male,44,1,28,0,1-2 Year,Yes,43870,124,215,0
Male,22,1,42,0,< 1 Year,Yes,29776,152,163,0
Female,22,1,29,1,< 1 Year,No,35026,152,230,0
Female,53,1,46,1,1-2 Year,No,2630,26,210,0
Male,26,1,30,1,< 1 Year,No,38549,152,111,0
Male,21,1,49,0,< 1 Year,Yes,32414,152,14,0
Male,23,1,37,0,< 1 Year,No,31410,152,12,0
Male,55,1,28,0,1-2 Year,Yes,2630,160,165,0
Female,33,1,50,1,1-2 Year,No,27863,8,240,0
Male,20,1,13,1,< 1 Year,No,2630,160,258,0
Female,34,1,29,1,1-2 Year,No,18203,152,36,0
Male,22,1,41,1,< 1 Year,No,40991,152,176,0
Male,32,1,28,1,1-2 Year,No,2630,26,115,0
Female,24,1,28,1,< 1 Year,No,2630,152,12,0
Male,36,1,41,0,1-2 Year,No,30837,152,168,0
Female,41,1,28,1,1-2 Year,No,36809,124,187,0
Female,58,1,28,0,1-2 Year,Yes,23785,26,15,0
Male,24,1,6,1,< 1 Year,No,30592,152,48,0
Male,21,1,8,1,< 1 Year,No,23157,160,243,0
Male,29,1,28,1,< 1 Year,No,41325,152,205,0
Male,27,1,50,1,< 1 Year,No,33423,152,29,0
Male,31,1,41,1,< 1 Year,No,64576,152,272,0
Male,40,1,28,0,1-2 Year,No,41106,26,296,0
Female,69,1,28,1,1-2 Year,No,39787,26,145,0
Male,65,1,46,1,1-2 Year,No,28537,26,276,0
Female,46,1,28,0,1-2 Year,Yes,51382,26,157,0
Female,22,1,41,0,< 1 Year,Yes,49844,152,78,0
Male,43,1,28,1,1-2 Year,Yes,39812,26,215,0
Male,46,1,47,0,1-2 Year,No,39173,26,240,0
Male,50,1,33,1,1-2 Year,No,27128,124,299,0
Female,24,1,33,1,< 1 Year,No,33397,152,279,0
Male,31,1,1,0,1-2 Year,Yes,2630,26,191,0
Female,22,1,46,1,< 1 Year,No,25927,152,213,0
Male,24,1,10,1,< 1 Year,No,30643,152,43,0
Male,23,1,40,0,< 1 Year,Yes,25323,152,113,0
Male,63,1,30,1,1-2 Year,No,39425,152,75,0
Male,60,1,28,1,1-2 Year,No,45623,124,70,0
Male,24,1,37,0,< 1 Year,Yes,48614,152,299,0
Male,26,1,10,1,< 1 Year,Yes,15332,152,151,0
Male,24,1,6,1,< 1 Year,No,29970,152,18,0
Male,24,1,5,1,< 1 Year,No,28152,152,52,0
Male,21,1,29,0,< 1 Year,Yes,36963,124,222,0
Male,35,1,6,0,1-2 Year,Yes,2630,156,18,0
Male,24,1,8,1,< 1 Year,No,44859,160,138,0
Female,42,1,20,1,1-2 Year,No,2630,133,151,0
Male,63,1,28,0,1-2 Year,Yes,50036,26,278,0
Male,24,1,6,1,< 1 Year,No,28667,152,290,0
Male,25,1,46,0,< 1 Year,Yes,26661,152,14,0
Female,28,1,41,0,< 1 Year,Yes,2630,156,273,0
Female,50,1,28,1,1-2 Year,Yes,35239,26,47,0
Male,55,1,35,1,1-2 Year,No,2630,154,294,0
Female,55,1,28,0,1-2 Year,Yes,2630,160,45,0
Male,52,1,28,0,1-2 Year,Yes,40516,124,90,0
Female,44,1,39,0,1-2 Year,Yes,32271,26,230,0
Female,23,1,46,1,< 1 Year,No,28557,152,290,0
Female,51,1,48,1,1-2 Year,No,2630,26,23,0
Female,24,1,45,1,< 1 Year,No,21161,152,13,0
Female,44,1,4,1,1-2 Year,No,28112,26,94,0
Male,26,1,6,1,< 1 Year,No,26270,152,100,0
Male,26,1,7,1,< 1 Year,No,2630,152,58,0
Female,63,1,8,1,1-2 Year,No,48988,152,120,0
Male,72,1,20,0,1-2 Year,No,2630,124,96,0
Female,80,1,28,0,1-2 Year,Yes,66060,26,80,0
Female,22,1,10,0,< 1 Year,Yes,28674,26,78,0
Female,25,1,8,1,< 1 Year,No,22225,152,85,0
Male,39,1,28,1,1-2 Year,No,44188,124,288,0
Male,48,1,28,0,1-2 Year,Yes,37533,122,211,0
Female,68,1,28,1,1-2 Year,No,51004,124,18,0
Female,23,1,50,1,< 1 Year,No,37276,152,113,0
Male,56,1,28,0,> 2 Years,Yes,46016,156,201,0
Male,60,1,28,0,1-2 Year,Yes,28663,25,226,0
Male,23,1,45,0,< 1 Year,Yes,30105,152,162,0
Male,24,1,8,1,< 1 Year,No,34637,152,108,0
Male,43,1,36,0,1-2 Year,Yes,2630,124,264,0
Male,44,1,35,0,1-2 Year,Yes,31720,124,232,0
Male,57,1,28,1,1-2 Year,No,30788,124,152,0
Male,25,1,8,1,< 1 Year,No,69635,152,247,0
Male,29,1,13,0,1-2 Year,Yes,18073,124,87,0
Female,28,1,28,1,< 1 Year,No,30904,122,83,0
Female,26,1,33,1,< 1 Year,No,41336,152,148,0
Female,61,1,48,0,1-2 Year,Yes,2630,26,119,0
Male,23,1,30,0,< 1 Year,Yes,33238,151,29,0
Female,24,1,18,1,< 1 Year,No,27793,152,264,0
Male,36,1,28,0,1-2 Year,Yes,30725,124,230,0
Male,25,1,9,1,< 1 Year,No,42093,152,200,0
Female,54,1,19,0,1-2 Year,Yes,42411,152,132,0
Female,37,1,15,0,1-2 Year,No,2630,152,145,0
Male,63,1,4,1,1-2 Year,No,40133,26,220,0
Female,46,1,8,1,1-2 Year,No,87286,26,42,0
Female,24,1,35,1,< 1 Year,No,25606,152,277,0
Male,21,1,41,1,< 1 Year,No,45768,152,95,0
Male,66,1,8,0,> 2 Years,Yes,26451,26,258,0
Female,26,1,41,1,< 1 Year,No,2630,153,222,0
Male,38,1,28,1,1-2 Year,No,22724,26,241,0
Female,47,1,28,0,1-2 Year,Yes,45393,26,47,0
Female,52,1,8,0,1-2 Year,Yes,37548,7,247,0
Female,50,1,28,0,1-2 Year,Yes,45111,26,177,0
Male,31,1,28,0,1-2 Year,No,31495,156,78,0
Male,24,1,28,1,< 1 Year,No,53199,152,231,0
Female,20,1,30,0,< 1 Year,Yes,27722,160,73,0
Female,26,1,28,1,< 1 Year,Yes,27693,160,151,0
Female,40,1,11,0,1-2 Year,Yes,59627,26,279,0
Male,22,1,46,1,< 1 Year,No,34393,160,92,0
Female,40,1,33,1,1-2 Year,No,26608,124,227,0
Female,26,1,47,1,< 1 Year,No,2630,152,129,0
Male,65,1,8,1,1-2 Year,Yes,40319,26,18,0
Female,25,1,28,1,< 1 Year,No,64300,152,10,0
Female,56,1,15,1,1-2 Year,No,37257,124,18,0
Male,62,1,7,1,1-2 Year,No,2630,26,178,0
Male,39,1,32,0,1-2 Year,Yes,2630,52,59,0
Female,25,1,14,1,< 1 Year,No,27533,152,99,0
Female,23,1,45,0,< 1 Year,Yes,2630,157,264,0
Female,33,1,15,1,< 1 Year,No,35297,152,101,0
Female,25,1,30,1,< 1 Year,No,36648,152,94,0
Male,20,1,46,1,< 1 Year,No,31385,160,148,0
Male,28,1,9,0,< 1 Year,Yes,27844,152,184,0
Female,26,1,4,0,< 1 Year,Yes,29775,124,118,0
Female,35,1,30,1,1-2 Year,No,28462,152,251,0
